x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
0.71010119,0.711847732,0.968030924,0.237909891,0.793354417,0.729713482,0.090953054,0.155574119,0.887725747,0.186300422,,,0.443824736,,,0.190029034,0.712320107,0.593883245,,0.665106996,0.398878751,0.513118916,,0.251477141,0.42572783,0.961098592
0.539391916,0.232070686,0.683126971,0.652265843,0.972831329,0.697249467,0.539934704,0.936507032,0.8265638,0.913730194,,0.868098694,,,,0.672969883,0.329710337,0.69049386,,0.896352288,,0.049885834,,0.950851296,0.347487996,0.645048844
0.335756338,0.230042482,0.992231538,,0.254798138,0.482116695,0.087451271,0.924884843,,0.043485717,0.19821139,0.736358224,0.987036122,,,0.019460428,0.66522616,0.479751879,,0.883233553,,0.407472792,,0.523547263,0.84944184,0.821516362
0.360300395,,,0.999511575,0.575359819,0.582360148,,0.874837781,,0.723268402,0.227637712,,0.869782296,,,0.115202383,0.662955316,0.207159227,,0.705256882,,0.743899186,,0.309445588,0.912966391,0.086665074
0.288714413,0.237958384,,0.788475663,0.422543214,,,0.050423334,0.100651976,,0.591725079,0.846106268,0.658302119,,,0.003138929,0.897232658,0.996309803,,0.306340883,,0.725408577,,0.241034176,0.716300367,0.037207979
0.116418111,0.221556059,,0.10030278,0.767740692,0.333571343,,0.688488042,0.371091065,,,0.737527211,,,,0.703010696,0.962953719,0.108080967,,0.668063362,,0.148068258,,0.17085806,0.218328513,
0.505101655,,,,0.558012476,0.400078893,,,,,0.979619143,,0.488743076,,,0.466697973,0.860890404,0.561834558,,0.474167473,,0.460976846,,0.391735968,,0.628093642
0.583362324,0.547029895,0.270782674,0.781803342,0.6302446,,,0.723197845,0.838502102,,0.899556401,0.931748496,0.501510694,,,0.342360365,,0.032454208,,0.688337048,,0.009221006,,0.213926562,0.226683143,0.826127778
0.962380789,0.587164693,0.938278061,0.394823134,,,,0.960606113,0.794717368,,0.16571554,0.334453418,0.057236704,,,,0.457185191,,,,,0.03423516,,,0.552652011,0.01850263
0.798998365,0.479411243,0.951535229,0.74826948,,,,0.114918605,0.183024996,,0.476554696,0.528244748,0.071260243,,,0.286040267,0.031783911,0.616859609,,0.46090319,,,,0.783472664,0.927292894,0.967264917
0.719061966,0.797274243,0.867751745,0.494913629,,,,0.917708007,,,0.995299264,0.85539687,,,,0.293762233,0.808586149,0.449009638,,0.334787936,,0.893356586,,0.739083332,0.307207128,0.74729952
0.240523576,0.623290187,0.217790078,0.240046629,,,,0.265113282,0.689932854,,,0.72981204,0.681816788,,,0.192606952,0.311641774,0.980254213,,0.331704798,,0.479101359,,0.615306727,0.522783342,0.534804967
0.393528332,0.986443182,0.357384711,0.251251952,0.613567547,,,0.532336217,0.8532299,,0.025256459,0.222767492,0.388010715,,,0.483656803,0.018740099,0.714289601,,0.944848773,,0.942006998,,0.627319809,0.649674534,0.132747575
0.538378076,0.431710852,0.600605311,0.739652209,0.769333796,,,0.432365201,0.381173933,,0.955200145,0.201501846,0.688003957,,,0.622264564,0.875512773,0.985534696,,0.600401118,,0.28410357,,0.891858536,0.142403067,0.893892116
0.104686675,0.85909944,0.992578249,0.310155419,0.819804766,,,,0.662206678,,0.376124005,0.983249041,0.740032252,,,0.339061398,0.798835007,0.309028864,,0.607099026,,0.22060105,,0.384370759,0.253994334,0.090727257
0.8461099,0.865260059,0.660998485,,0.771273059,,,0.883624897,,,0.137476578,0.370393087,0.143285709,,,0.527048046,0.012498419,,,0.66517563,,0.91273083,,0.611165482,0.776203553,0.339680522
0.241400176,0.507439572,0.430508591,0.593626189,0.820402084,,,0.004266157,,,,0.575013875,0.313602354,,,0.174593538,0.108119144,0.234924162,,0.543995924,,0.990067767,,0.51412137,0.781567315,0.412602867
0.097469754,0.909910015,,0.133300979,0.375354693,,,0.478796051,,,0.756397031,,0.024968355,,,0.784605602,0.74391003,0.895489781,,,,0.931734794,,0.82132131,0.154856633,
